"","","","kultgames","","versusgamecenter","","arenaporto","","gameplay","","jogonamesa","","dracotienda","","cultodacaixa","","gglounge","","diver","","juegosdelamesaredonda","","planetongames","","amazon.es","","devir"
"The Quacks of Quedlinburg: The Herb Witches","20.85","jogonamesa.pt","0",,"0",,"0",,"41.5","Esgotado","20.85","em 24 dias","0",,"0.0","esgotado","24.9","Only 2 left in stock","0",,"0",,"0",,"0",,"0",
"The Quest for El Dorado","31.73","jogonamesa.pt","0",,"0",,"0",,"36.99","Restock","31.73","em 24 dias","0",,"0.0","esgotado","0",,"0",,"0",,"0",,"10000.0","Not found.","0",
"Res Arcana","29.07","jogonamesa.pt","39.95","Delivery in 1 to 2 weeks time","0",,"0",,"38.95","Em stock","29.07","em 17 dias","0",,"0.0","esgotado","0",,"36.99","Encomenda ao fornecedor","31.46","EN REPOSICIÓN","0",,"10000.0","Not found.","0",
"Roll for the Galaxy","52.89","jogonamesa.pt","0",,"61.9","Disponível","62.99","Últimos artigos em stock","59.95","Em stock","52.89","em 24 dias","52.95","Últimas unidades en stock","0.0","esgotado","0",,"69.99","Disponível","0",,"53.96","Este producto ya no está disponible","10000.0","Not found.","0",
"Royals","0","","0",,"0",,"0",,"0",,"0.0","esgotado","0",,"0.0","esgotado","0",,"0",,"0",,"0",,"0",,"0",
"Silver & Gold","11.95","gameplay.pt","0",,"0",,"0",,"11.95","Em stock","0.0","esgotado","0",,"0.0","esgotado","0",,"0",,"0",,"0",,"10000.0","Not found.","0",
"Splendor","26.95","juegosdelamesaredonda.com","34.95","in stock","34.9","Disponível","43.04","","29.05","Em stock","28.5","Esgotado","29.95","Disponible","0.0","esgotado","28.4","Only 2 left in stock","34.99","Disponivel","26.95","EN STOCK","29.99","Producto en stock","10000.0","Not found.","0",
"Splendor Marvel","24.9","cultodacaixa.pt","0",,"33.9","Disponível","35.99","","34.95","Em stock","27.98","Esgotado","34.95","Fuera de stock","24.9","Out of stock","0",,"44.99","Disponivel","35.96","EN STOCK","39.95","Producto en stock","10000.0","Not found.","0",
"Stone Age","35.96","www.planetongames.com","0",,"0",,"55.34","Últimos artigos em stock","43.65","Em stock","41.0","17 dias","40.5","Disponible","36.9","Out of stock","0",,"40.49","Disponivel","36.0","EN REPOSICIÓN","35.96","Este producto ya no está disponible","10000.0","Not found.","2000.0","not implemented yet"
"Strike","13.72","jogonamesa.pt","0",,"0",,"0",,"0",,"13.72","em 17 dias","0",,"0",,"0",,"0",,"20.65","EN STOCK","0",,"10000.0","Not found.","0",
"Strike HP","20.25","jogonamesa.pt","0",,"0",,"0",,"29.95","Em stock","20.25","em 17 dias","0",,"0.0","esgotado","0",,"0",,"25.16","EN STOCK","27.85","Producto en stock","10000.0","Not found.","0",
